Definition,,Data Domain (Foreign ID),Data Domain
The rate at which applicants are accepted.,,1,Organisation
First line of address.,,1,Organisation
"The Academic Ranking of World Universities, also known as the Shanghai Ranking, is one of the annual publications of world university rankings. ",,1,Organisation
The total average cost of studying.,,1,Organisation
The total average financial aid provided to undergraduate level students.,,1,Organisation
Batch ID is the 'grouping' of the email inside the batches sent to the Mail Transfer Agent for sending.,,1,Organisation
"Campus setting means a site on which a program conducts a single program in multiple buildings on the same property, on two or more properties which are contiguous, or on multiple levels of the same building.",,1,Organisation
Label for Business Glossary term 'Campus Setting'.,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,2,People
Test,,2,People
Test,,2,People
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,2,People
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,2,People
Test,,2,People
Test,,2,People
Test,,1,Organisation
Test,,2,People
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,2,People
Test,,2,People
Test,,1,Organisation
Test,,2,People
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,2,People
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,2,People
Test,,2,People
test,,3,Location
test,,3,Location
TEST3,,3,Location
Test4,,3,Location
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,2,People
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation
Test,,1,Organisation